,Dataset: COMPTON-1993 (COMP28ID),,,,,,,,,
,Data From (Title): Personnel Attrition Data,,,,,,,,,
,"Author: Compton, Jonathon W.",,,,,,,,,
,Organization: US Army TRADOC Systems Analysis Activity,,,,,,,,,
,"Address: White Sands Missile Range, New Mexico 88002",,,,,,,,,
,Publication Date: November 1983.,,,,,,,,,
,Classification: UNCLASSIFIED.,,,,,,,,,
,Source Available From: DTIC as AD-B085 206.,,,,,,,,,
,"Prepared By: Dr. Robert L. Helmbold, US Army Concepts Analysis Agency",,,,,,,,,
,Spreadsheet last revised: 17 November 1993.,,,,,,,,,
-,-,-,-,-,-,-,-,-,-,-
Seq.,Division,,Sub-Unit,Sub-Unit,Sub-Unit,,,,,
No.,Name,Date,Level 1,Level 2,Level 3,KIA,WIA,MIA,NB,Total
-,-,-,-,-,-,-,-,-,-,-
116,28th Infantry,11/02/1944,DIVARTY,76 FA BN,MED DET,--,--,--,--,0
117,28th Infantry,11/02/1944,DIVARTY,108 FA BN,HHB,--,--,--,--,0
118,28th Infantry,11/02/1944,DIVARTY,108 FA BN,SVC BTRY,--,--,--,--,0
119,28th Infantry,11/02/1944,DIVARTY,108 FA BN,A BTRY,--,--,--,--,0
120,28th Infantry,11/02/1944,DIVARTY,108 FA BN,B BTRY,--,--,--,1,1
121,28th Infantry,11/02/1944,DIVARTY,108 FA BN,C BTRY,--,--,--,--,0
122,28th Infantry,11/02/1944,DIVARTY,108 FA BN,MED DET,--,--,--,--,0
123,28th Infantry,11/02/1944,DIVARTY,86 CML MORT (MTZ) BN (-),HHD,--,--,--,--,0
124,28th Infantry,11/02/1944,DIVARTY,86 CML MORT (MTZ) BN (-),A CO,1,--,--,--,1
125,28th Infantry,11/02/1944,DIVARTY,86 CML MORT (MTZ) BN (-),C CO,--,--,--,1,1
126,28th Infantry,11/02/1944,DIVARTY,86 CML MORT (MTZ) BN (-),MED DET,--,--,--,--,0
127,28th Infantry,11/02/1944,DIVARTY,87 CML MORT BN (-),D CO,--,2,--,--,2
128,28th Infantry,11/02/1944,DIVARTY,987 FA BN (-),A BTRY,--,--,--,--,0
129,28th Infantry,11/02/1944,DIVARTY,893 TD BN (-),HHC,--,--,--,--,0
130,28th Infantry,11/02/1944,DIVARTY,893 TD BN (-),RCN CO,--,--,--,--,0
131,28th Infantry,11/02/1944,DIVARTY,893 TD BN (-),B CO,--,--,--,--,0
132,28th Infantry,11/02/1944,DIVARTY,893 TD BN (-),C CO,--,--,--,--,0
133,28th Infantry,11/02/1944,DIVARTY,893 TD BN (-),MED DET,--,--,--,--,0
134,28th Infantry,11/02/1944,DIVARTY,707 TANK BN (-),HHC,--,--,--,--,0
135,28th Infantry,11/02/1944,DIVARTY,707 TANK BN (-),SVC CO,--,--,--,--,0
136,28th Infantry,11/02/1944,DIVARTY,707 TANK BN (-),A CO,--,--,--,--,0
137,28th Infantry,11/02/1944,DIVARTY,707 TANK BN (-),MED DET,--,--,--,--,0
138,28th Infantry,11/02/1944,DIV TRAINS,728 ORD LT MAINT CO,--,--,--,--,--,0
139,28th Infantry,11/02/1944,DIV TRAINS,103 MED BN (-),HHC,--,--,--,--,0
140,28th Infantry,11/02/1944,DIV TRAINS,103 MED BN (-),D CO,--,--,--,--,0
141,28th Infantry,11/02/1944,DIV TRAINS,SUPPORT TROOPS,"HQ, SP TROOPS",--,--,--,--,0
142,28th Infantry,11/02/1944,DIV TRAINS,SUPPORT TROOPS,MP PLATOON,--,--,--,--,0
143,28th Infantry,11/02/1944,DIV TRAINS,SUPPORT TROOPS,DIVISION BAND,--,--,--,--,0
144,28th Infantry,11/02/1944,DIV TRAINS,SUPPORT TROOPS,28 SIGNAL CO,--,--,--,--,0
145,28th Infantry,11/02/1944,DIV TRAINS,SUPPORT TROOPS,"MED DET, SP TROOPS",--,--,--,--,0
146,28th Infantry,11/02/1944,DIV TRAINS,28 QM CO,--,--,--,--,--,0
147,,,,,TOTAL,12,277,46,97,432
148,28th Infantry,11/03/1944,DIV HQ,HHC,--,--,--,--,--,0
149,28th Infantry,11/03/1944,DIV HQ,CIC DET,--,--,--,--,--,0
150,28th Infantry,11/03/1944,DIV HQ,103D ENGR CBT BN (-),HHC & SVC CO,--,--,--,--,0
151,28th Infantry,11/03/1944,DIV HQ,103D ENGR CBT BN (-),MED DET,1,--,--,--,1
152,28th Infantry,11/03/1944,DIV HQ,28TH RCN TRP (MECZ),--,--,--,--,3,3
153,28th Infantry,11/03/1944,DIV HQ,"D CO, 707 TANK BN",--,--,--,--,1,1
154,28th Infantry,11/03/1944,109TH RCT,"HQ, 109TH RCT",HHC,--,--,--,--,0
155,28th Infantry,11/03/1944,109TH RCT,"HQ, 109TH RCT",SVC CO,--,1,--,1,2
156,28th Infantry,11/03/1944,109TH RCT,"HQ, 109TH RCT",CANNON CO,--,--,--,--,0
157,28th Infantry,11/03/1944,109TH RCT,"HQ, 109TH RCT",ANTITANK CO,2,2,--,--,4
158,28th Infantry,11/03/1944,109TH RCT,"HQ, 109TH RCT",MED DET,2,3,--,3,8
159,28th Infantry,11/03/1944,109TH RCT,1ST BN,HHC,--,1,10,2,13
160,28th Infantry,11/03/1944,109TH RCT,1ST BN,A CO,--,16,--,3,19
161,28th Infantry,11/03/1944,109TH RCT,1ST BN,B CO,--,18,--,2,20
162,28th Infantry,11/03/1944,109TH RCT,1ST BN,C CO,--,21,1,1,23
163,28th Infantry,11/03/1944,109TH RCT,1ST BN,D CO,--,5,3,--,8
164,28th Infantry,11/03/1944,109TH RCT,2ND BN,HHC,--,--,--,--,0
165,28th Infantry,11/03/1944,109TH RCT,2ND BN,E CO,1,3,--,--,4
166,28th Infantry,11/03/1944,109TH RCT,2ND BN,F CO,3,5,--,4,12
167,28th Infantry,11/03/1944,109TH RCT,2ND BN,G CO,--,1,--,1,2
168,28th Infantry,11/03/1944,109TH RCT,2ND BN,H CO,--,3,--,--,3
169,28th Infantry,11/03/1944,109TH RCT,3D BN,HHC,1,--,--,1,2
170,28th Infantry,11/03/1944,109TH RCT,3D BN,I CO,1,9,--,6,16
171,28th Infantry,11/03/1944,109TH RCT,3D BN,K CO,--,3,--,9,12
172,28th Infantry,11/03/1944,109TH RCT,3D BN,L CO,1,6,--,2,9
173,28th Infantry,11/03/1944,109TH RCT,3D BN,M CO,--,5,--,1,6
174,28th Infantry,11/03/1944,109TH RCT,107TH FA BN,HHB,--,--,1,--,1
175,28th Infantry,11/03/1944,109TH RCT,107TH FA BN,SVC BTRY,--,--,--,--,0
176,28th Infantry,11/03/1944,109TH RCT,107TH FA BN,A BTRY,--,4,--,--,4
177,28th Infantry,11/03/1944,109TH RCT,107TH FA BN,B BTRY,--,--,--,--,0
178,28th Infantry,11/03/1944,109TH RCT,107TH FA BN,C BTRY,--,--,--,--,0
179,28th Infantry,11/03/1944,109TH RCT,107TH FA BN,MED DET,--,--,--,--,0
180,28th Infantry,11/03/1944,109TH RCT,"A CO, 103 ENGR CBT BN",--,1,3,--,--,4
181,28th Infantry,11/03/1944,109TH RCT,"A CO, 103 MED BN",--,--,--,--,--,0
182,28th Infantry,11/03/1944,109TH RCT,146 ENGR CBT BN (-),HHC & SVC CO,--,--,--,--,0
183,28th Infantry,11/03/1944,109TH RCT,146 ENGR CBT BN (-),C CO,--,--,--,--,0
184,28th Infantry,11/03/1944,109TH RCT,146 ENGR CBT BN (-),MED DET,--,--,--,--,0
185,28th Infantry,11/03/1944,110TH RCT,"HQ, 110TH RCT",HHC,--,--,--,--,0
186,28th Infantry,11/03/1944,110TH RCT,"HQ, 110TH RCT",SVC CO,--,--,--,--,0
187,28th Infantry,11/03/1944,110TH RCT,"HQ, 110TH RCT",CANNON CO,--,--,--,--,0
188,28th Infantry,11/03/1944,110TH RCT,"HQ, 110TH RCT",ANTITANK CO,--,--,--,--,0
189,28th Infantry,11/03/1944,110TH RCT,"HQ, 110TH RCT",MED DET,--,--,--,2,2
190,28th Infantry,11/03/1944,110TH RCT,1ST BN,HHC,--,--,--,--,0
191,28th Infantry,11/03/1944,110TH RCT,1ST BN,A CO,--,--,--,--,0
192,28th Infantry,11/03/1944,110TH RCT,1ST BN,B CO,--,--,--,1,1
193,28th Infantry,11/03/1944,110TH RCT,1ST BN,C CO,--,--,--,--,0
194,28th Infantry,11/03/1944,110TH RCT,1ST BN,D CO,--,--,--,2,2
195,28th Infantry,11/03/1944,110TH RCT,2D BN,HHC,--,--,--,--,0
196,28th Infantry,11/03/1944,110TH RCT,2D BN,E CO,--,1,--,--,1
197,28th Infantry,11/03/1944,110TH RCT,2D BN,F CO,--,27,--,4,31
198,28th Infantry,11/03/1944,110TH RCT,2D BN,G CO,--,13,--,5,18
199,28th Infantry,11/03/1944,110TH RCT,2D BN,H CO,--,--,--,--,0
200,28th Infantry,11/03/1944,110TH RCT,3D BN,HHC,--,2,--,--,2
201,28th Infantry,11/03/1944,110TH RCT,3D BN,I CO,--,19,--,--,19
202,28th Infantry,11/03/1944,110TH RCT,3D BN,K CO,--,--,--,5,5
203,28th Infantry,11/03/1944,110TH RCT,3D BN,L CO,1,8,--,1,10
204,28th Infantry,11/03/1944,110TH RCT,3D BN,M CO,--,1,--,--,1
205,28th Infantry,11/03/1944,110TH RCT,109TH FA BN,HHB,--,--,--,1,1
206,28th Infantry,11/03/1944,110TH RCT,109TH FA BN,SVC BTRY,--,--,--,--,0
207,28th Infantry,11/03/1944,110TH RCT,109TH FA BN,A BTRY,--,--,--,--,0
208,28th Infantry,11/03/1944,110TH RCT,109TH FA BN,B BTRY,--,--,--,--,0
209,28th Infantry,11/03/1944,110TH RCT,109TH FA BN,C BTRY,--,--,--,--,0
210,28th Infantry,11/03/1944,110TH RCT,109TH FA BN,MED DET,--,--,--,--,0
211,28th Infantry,11/03/1944,110TH RCT,"B CO, 103 ENGR CBT BN",--,--,--,--,--,0
212,28th Infantry,11/03/1944,110TH RCT,"B CO, 103 MED BN",--,--,--,--,--,0
213,28th Infantry,11/03/1944,110TH RCT,1340 ENGR CBT BN,HHC & SVC CO,--,--,--,1,1
214,28th Infantry,11/03/1944,110TH RCT,1340 ENGR CBT BN,A CO,--,--,--,--,0
215,28th Infantry,11/03/1944,110TH RCT,1340 ENGR CBT BN,B CO,--,--,--,2,2
216,28th Infantry,11/03/1944,110TH RCT,1340 ENGR CBT BN,C CO,--,--,--,2,2
217,28th Infantry,11/03/1944,110TH RCT,1340 ENGR CBT BN,MED DET,--,--,--,--,0
218,28th Infantry,11/03/1944,110TH RCT,"A CO, 146 ENGR CBT BN",--,--,--,--,--,0
219,28th Infantry,11/03/1944,110TH RCT,"B CO, 707 TANK BN",--,--,1,--,--,1
220,28th Infantry,11/03/1944,112TH RCT,"HQ, 112 RCT",HHC,--,1,--,--,1
221,28th Infantry,11/03/1944,112TH RCT,"HQ, 112 RCT",SVC CO,--,--,--,1,1
222,28th Infantry,11/03/1944,112TH RCT,"HQ, 112 RCT",CANNON CO,1,1,--,--,2
