,Dataset: KELLEY-1977,,,,,,,
,Data From (Title): Quality-Quantity Tradeoffs: A Historical,,,,,,,
,,Analysis of Air Combat. ,,,,,,
,"Author: Kelley, C.T., et al.",,,,,,,
,Organization: The RAND Corporation.,,,,,,,
,"Address: Santa Monica, CA.",,,,,,,
,Publication Date: April 1977.,,,,,,,
,Classification: UNCLASSIFIED.,,,,,,,
,Source Available From: DTIC as AD-C010 504.,,,,,,,
,"Prepared By: Dr. Robert L. Helmbold, US Army Concepts Analysis Agency",,,,,,,
,Spreadsheet last revised: 30 October 1993,,,,,,,
-,-,-,-,-,-,-,-,-
,,,,,,,,
,"Korean Combat Data, Based on Fifth Air Force Intelligence Summaries.",,,,,,,
,,,,,,,,
-,-,-,-,-,-,,,
,,No. of Aircraft,,Aircraft Losses,,,,
No.,Date,US,NK,US,NK,,,
-,-,-,-,-,-,,,
69,F4D,MIG21,2,2,0,0,,
70,F4J,MIG21,2,2,0,1,,
71,F4D,MIG21,4,4,0,2,,
72,F4D,MIG21,2,2,0,1,,
73,F4B,MIG21,2,1,1,0,,
74,F4J,MIG21,2,4,0,2,,
75,F4D,MIG21,4,2,0,1,,
76,F4J,MIG21,2,2,0,1,,
77,F4D,MIG19/21,4,10,0,3,,
78,F4D,MIG21,2,1,0,0,,
79,F4D,MIG21,2,2,0,0,,
80,F4D,MIG21,2,2,1,0,,
81,F4D,MIG21,4,2,0,0,,
82,F4D,MIG21,8,2,0,0.5,,
83,F4D/E,MIG19/21,4,4,1,0,,
84,F4D,MIG21,4,2,1,0,,
85,F4E,MIG21,4,2,0,1,,
86,F4D,MIG21,4,2,0,1,,
87,F4D/E,MIG21,4,5,0,1,,
88,F4D,MIG21,4,2,0,0,,
89,F4E,MIG21,4,1,0,0,,
90,F4J,MIG21,2,1,0,0,,
91,F4E,MIG21,4,2,1,0,,
92,F4J,MIG21,2,2,0,1,,
93,F4D/E,MIG21,4,4,0,0,,
94,F4D/E,MIG21,4,1,1,0,,
95,F4E,MIG21,4,2,0.5,0,,
96,F4E,MIG19,4,1,0.25,0,,
97,F4E,MIG21,2,2,0.5,0,,
98,F4E,MIG21,4,1,0,0,,
99,F4E,MIG21,2,5,0,0,,
100,F4E,MIG21,4,2,2,0,,
101,F4E,MIG21,4,1,0,0,,
102,F4E,MIG21,2,1,1,0,,
103,F4E,MIG21,2,1,0,1,,
104,F4D/E,MIG21,4,2,0,2,,
105,F4D/E,MIG21,2,1,0,1,,
106,F4E,MIG21,4,1,1,0,,
107,F4E,MIG21,1,1,0,0,,
108,F4E,MIG21,4,2,0.5,0,,
109,F4E,MIG21,8,2,1,1,,
110,F4D/E,MIG21,4,2,1,0,,
111,F4E,MIG21,4,2,0,1,,
112,F4J,MIG21,2,1,1,0,,
113,F4E,MIG21,4,1,0.5,0,,
114,F4D/E,MIG21,4,2,0,1,,
115,F4D/E,MIG21,4,2,0,0,,
116,F4D/E,MIG21,4,2,0,0,,
117,F4D/E,MIG21,4,1,0,1,,
118,F4D/E,MIG19,4,2,0,2,,
119,F4J,MIG21,2,2,2,2,,
120,F4D/E,MIG21,4,2,0,0,,
121,F4D/E,MIG21,2,2,0,1,,
122,F4D/E,MIG21,4,1,0,1,,
123,F4D/E,MIG21,4,2,0,0,,
124,F4D/E,MIG21,4,2,0,0,,
125,F4E,MIG21,4,3,0,0,,
126,F4E,MIG21,4,2,0,0,,
127,F4E,MIG19,4,2,0,0,,
128,F4D/E,MIG21,4,1,1,0,,
129,F4E,MIG21,4,3,1,0,,
130,F4D/E,MIG21,4,1,0,1,,
131,F4D/E,MIG21,4,2,0,1,,
132,F4D/E,MIG21,4,2,0,1,,
133,F4D/E,MIG21,2,2,0,0,,
134,F4D/E,MIG21,4,3,0,1,,
135,F4D/E,MIG21,4,2,0,1,,
136,F4D/E,MIG21,4,2,1,0,,
137,F4E,MIG21,2,1,0,0,,
138,F4E,MIG21,2,1,1,0,,
-,-,-,-,-,-,-,,
