"seqno","page","item","type","battle_name",,,,,,,"duration","winner_a","winner_b","loser_a","loser_b","winner_personnel","winner_main_ships","winner_other_ships","winner_cannon","loser_personnel","loser_main_ships","loser_other_ships","loser_cannon","winner_dead","winner_wounded","winner_bloody","winner_miapow","winner_losses","winner_main_ship_losses","winner_other_ship_loses","winner_cannon_losses","loser_dead","loser_wounded","loser_bloody","loser_miapow","loser_losses","loser_main_ship_losses","loser_other_ship_loses","loser_cannon_losses","winne_loss_fraction","loser_loss_fraction","winner_tbc_fraction","loser_tbc_fraction"
98,361,3,"Seetreffen","Algeciras",1801,7,12,1801,7,12,1,"England",,"Spain","France",3600,5,5,460,6000,9,4,918,,,200,0,200,0,0,0,,,2300,500,2800,3,1,322,0.0555555556,0.3833333333,0.0555555556,0.4666666667
99,362,1,"Seegefecht","Boulogne",1801,8,15,1801,8,15,1,"France",,"England",,,,,,4000,3,74,,,,,,,,,,50,150,200,0,200,,,,,0.05,,0.05
100,362,3,"Seetreffen","Kap Finisterre",1805,7,22,1805,7,22,1,"England",,"France","Spain",9000,15,4,1300,13000,20,9,1820,,,300,0,300,0,0,0,,,500,1000,1500,2,,158,0.0333333333,0.0384615385,0.0333333333,0.1153846154
101,366,2,"Seeschlacht","Kap Trafalgar",1805,10,21,1805,10,21,1,"England",,"France","Spain",16000,27,6,2272,20000,33,7,2874,500,1200,1700,0,1700,0,0,0,5000,3000,8000,8000,16000,18,,1445,0.10625,0.4,0.10625,0.8
102,367,3,"Seetreffen","Kap Ortegal",1805,11,4,1805,11,4,1,"England",,"France",,3000,5,4,518,2000,4,0,372,,,200,,,0,0,0,,,800,1200,2000,4,,,0.0666666667,0.4,,1
103,370,2,"Seetreffen","San Domingo",1806,2,6,1806,2,6,1,"England",,"France",,5000,7,4,616,4000,5,3,502,,,400,,,,,,,,1200,1400,2600,5,,420,0.08,0.3,,0.65
104,384,1,"Seeschlacht","Lemnos",1807,6,22,1807,6,22,1,"Russia",,"Turkey",,,,,,,,,,,,,,,,,,,,,,,6,,,,,,
105,396,1,"Seetreffen","Aix",1809,4,12,1809,4,13,2,"England",,"France",,12000,11,28,1400,8000,11,4,1000,,,,,,,,,,,,,,4,,300,,,,
106,418,4,"Seegefecht","Mauritius (Isle de France, Grand Port)",1810,8,20,1810,8,20,1,"France",,"England",,800,3,1,132,900,4,0,144,,,150,0,150,,,,,,300,600,900,4,,144,0.1875,0.3333333333,0.1875,1
107,423,1,"Seetreffen","Lissa",1811,3,13,1811,3,13,1,"England",,"France",,1000,4,0,124,2500,6,4,276,,,200,0,200,0,0,0,,,600,800,1400,3,,112,0.2,0.24,0.2,0.56
108,492,1,"Seeschlacht","Navarin (Neokastron)",1827,10,20,1827,10,20,1,"England","France","Turkey","Egypt",8000,10,16,1252,20000,3,111,2158,,,700,0,700,0,0,0,,,4000,4000,8000,0,55,1600,0.0875,0.2,0.0875,0.4
109,500,2,"Seetreffen","Kap Sao Vicente",1833,7,5,1833,7,5,1,"Pedristen",,"Miguelisten",,1500,3,8,182,2400,2,8,360,,,200,0,200,0,0,0,,,500,1500,2000,2,3,282,0.1333333333,0.2083333333,0.1333333333,0.8333333333
110,513,2,"Seetreffen","Sinope",1853,11,30,1853,11,30,1,"Russia",,"Turkey",,4000,6,6,650,2000,0,13,350,,,,,100,,,,,,,,1600,0,12,,,,0.025,0.8
111,550,1,"Seeschlacht","Lissa",1866,7,20,1866,7,20,1,"Austria",,"Italy",,8000,7,20,532,10000,9,24,625,40,160,200,0,200,0,0,0,620,80,700,200,900,1,1,40,0.025,0.07,0.025,0.09
112,581,2,"Seeschlacht","Yalu-Mundung",1894,9,16,1894,9,16,1,"Japan",,"China",,4000,1,10,278,3300,2,13,205,,,240,0,240,0,0,0,,,1000,,,1,6,120,0.06,0.303030303,0.06,
113,583,1,"Seetreffen","Cavite",1898,5,1,1898,5,1,1,"USA",,"Spain",,2000,4,2,106,2000,0,14,70,,,10,0,10,0,0,0,,,620,,,0,14,70,0.005,0.31,0.005,
114,584,1,"Seeschlacht","Santiago-de-Cuba",1898,7,3,1898,7,3,1,"USA",,"Spain",,4000,4,5,270,2400,0,6,148,,,2,0,2,0,0,0,,,500,1700,2200,0,6,148,0.0005,0.2083333333,0.0005,0.9166666667
115,591,1,"Seegefecht","Chemulpo",1904,2,9,1904,2,9,1,"Japan",,"Russia",,2300,4,8,140,900,1,2,48,,,,,,0,0,0,,,60,,,1,2,48,,0.0666666667,,
